id,userId,headline,location,workPreference,experienceLevel,bio,careerGoals,technicalSkills,softSkills,certifications,interests,preferredRoles,employabilityScore,careerReadinessScore
prof_11,user_11,Aspiring Software Engineer,Remote,On-site,Senior,Aspiring Software Engineer with a strong interest in Web Development.,Become a leading professional in Backend Developer.,Java|Spring Boot|Kotlin|Swift|Objective-C|C#|.NET|SQL,Communication|Teamwork|Problem Solving,Oracle Java Certified|Microsoft AZ-900,Web Development|AI/ML|Cloud Computing,Backend Developer|Data Scientist,70,75
prof_12,user_12,Frontend Enthusiast,On-site,Hybrid,Lead,Frontend Enthusiast with a strong interest in AI/ML.,Become a leading professional in Data Scientist.,Spring Boot|Kotlin|Swift|Objective-C|C#|.NET|SQL|MySQL,Teamwork|Problem Solving|Adaptability,Microsoft AZ-900|Certified Scrum Master,AI/ML|Cloud Computing|Cyber Security,Data Scientist|DevOps Engineer,72,77
prof_13,user_13,Backend Specialist,Hybrid,Remote,Entry Level,Backend Specialist with a strong interest in Cloud Computing.,Become a leading professional in DevOps Engineer.,Kotlin|Swift|Objective-C|C#|.NET|SQL|MySQL|PostgreSQL,Problem Solving|Adaptability|Critical Thinking,Certified Scrum Master|Cisco CCNA,Cloud Computing|Cyber Security|Mobile Apps,DevOps Engineer|Cloud Architect,74,79
prof_14,user_14,AI & ML Learner,Bengaluru,On-site,Mid Level,AI & ML Learner with a strong interest in Cyber Security.,Become a leading professional in Cloud Architect.,Swift|Objective-C|C#|.NET|SQL|MySQL|PostgreSQL|MongoDB,Adaptability|Critical Thinking|Leadership,Cisco CCNA|CompTIA Security+,Cyber Security|Mobile Apps|UI/UX,Cloud Architect|Product Manager,76,81
prof_15,user_15,DevOps Practitioner,New York,Hybrid,Senior,DevOps Practitioner with a strong interest in Mobile Apps.,Become a leading professional in Product Manager.,Objective-C|C#|.NET|SQL|MySQL|PostgreSQL|MongoDB|Redis,Critical Thinking|Leadership|Time Management,CompTIA Security+|IBM Data Science Professional Certificate,Mobile Apps|UI/UX|Data Analytics,Product Manager|QA Engineer,78,83
prof_16,user_16,Cloud Computing Student,San Francisco,Remote,Lead,Cloud Computing Student with a strong interest in UI/UX.,Become a leading professional in QA Engineer.,C#|.NET|SQL|MySQL|PostgreSQL|MongoDB|Redis|AWS/Cloud Services,Leadership|Time Management|Attention to Detail,IBM Data Science Professional Certificate,UI/UX|Data Analytics|Automation,QA Engineer|Full-Stack Developer,80,85
prof_17,user_17,Cybersecurity Aspirant,London,On-site,Entry Level,Cybersecurity Aspirant with a strong interest in Data Analytics.,Become a leading professional in Full-Stack Developer.,.NET|SQL|MySQL|PostgreSQL|MongoDB|Redis|AWS/Cloud Services|Azure,Time Management|Attention to Detail|Creativity,AWS Certified Cloud Practitioner|Google Cloud Certified,Data Analytics|Automation|Open Source,Full-Stack Developer|Frontend Developer,82,87
prof_18,user_18,Data Science Explorer,Berlin,Hybrid,Mid Level,Data Science Explorer with a strong interest in Automation.,Become a leading professional in Frontend Developer.,SQL|MySQL|PostgreSQL|MongoDB|Redis|AWS/Cloud Services|Azure|Google Cloud,Attention to Detail|Creativity|Collaboration,Google Cloud Certified|Oracle Java Certified,Automation|Open Source|Blockchain,Frontend Developer|Backend Developer,84,89
prof_19,user_19,Product-focused Developer,Toronto,Remote,Senior,Product-focused Developer with a strong interest in Open Source.,Become a leading professional in Backend Developer.,MySQL|PostgreSQL|MongoDB|Redis|AWS/Cloud Services|Azure|Google Cloud|Docker,Creativity|Collaboration,Oracle Java Certified|Microsoft AZ-900,Open Source|Blockchain|Web Development,Backend Developer|Data Scientist,86,91
prof_20,user_20,Software Architect in Training,Singapore,On-site,Lead,Software Architect in Training with a strong interest in Blockchain.,Become a leading professional in Data Scientist.,PostgreSQL|MongoDB|Redis|AWS/Cloud Services|Azure|Google Cloud|Docker|Kubernetes,Collaboration,Microsoft AZ-900|Certified Scrum Master,Blockchain|Web Development|AI/ML,Data Scientist|DevOps Engineer,88,93
